Old Name,NewName,Type,Color
CO_Spring,CO_Spr,Atm,#E69F00
CO_Summer,CO_Sum,Atm,#E69F00
NO2_Spring,NO2_Spr,Atm,#E69F00
NO2_Summer,NO2_Sum,Atm,#E69F00
O3_Spring,O3_Spr,Atm,#E69F00
O3_Summer,O3_Sum,Atm,#E69F00
Solar_insolation_spring,Solar_insol_Spr,Solar,#F0E442
Solar_insolation_summer,Solar_insol_Sum,Solar,#F0E442
UV_index_spring,UV_Spr,Solar,#F0E442
UV_index_summer,UV_Sum,Solar,#F0E442
Solar_insolation_spring.1,SolIns_Spr,Solar,#F0E442
Solar_insolation_summer.1,SolIns_Sum,Solar,#F0E442
Net_radiation_spring,Net_rad_Spr,Solar,#F0E442
Net_radiation_summer,Net_rad_Sum,Solar,#F0E442
WATER_EQUIVALENT_ANOMALY_spring,WEA_Spr,Water,#56B4E9
WATER_EQUIVALENT_ANOMALY_summer,WEA_Sum,Water,#56B4E9
Precipitable_water_spring,Prec_water_Spr,Water,#56B4E9
Precipitable_water_summer,Prec_water_Sum,Water,#56B4E9
LTtmp_dy_sp,LTtmp_dy_sp,Temp,#D55E00
LTemp_day_summer,LTemp_day_Sum,Temp,#D55E00
Ltemp__night_spring,Ltemp__night_Spr,Temp,#D55E00
Ltemp__night_summer,Ltemp__night_Sum,Temp,#D55E00
NDVI_Spring,NDVI_Spr,Productivity,#009E73
NDVI_Summer,NDVI_Sum,Productivity,#009E73
LAI_Spring,LAI_Spr,Productivity,#009E73
LAI_Summer,LAI_Sum,Productivity,#009E73
PET,PET,Water,#56B4E9
ET,ET,Water,#56B4E9
LE,LE,Water,#56B4E9
GPP_Spring,GPP_Spr,Productivity,#009E73
GPP_Summer,GPP_Sum,Productivity,#009E73
NPP_Spring,NPP_Spr,Productivity,#009E73
NPP_Summer,NPP_Sum,Productivity,#009E73
Topography,Topography,Misc,#999999
SRTM_elevation,SRTM_elevation,Productivity,#009E73
SMT_Spring,SMT_Spr,Productivity,#009E73
SMT_Summer,SMT_Sum,Productivity,#009E73
SMN_Spring,SMN_Spr,Productivity,#009E73
SMN_Summer,SMN_Sum,Productivity,#009E73
TCI_Spring,TCI_Spr,Productivity,#009E73
TCI_Summer,TCI_Sum,Productivity,#009E73
VCI_Spring,VCI_Spr,Productivity,#009E73
VCI_Summer,VCI_Sum,Productivity,#009E73
VHI_Spring,VHI_Spr,Productivity,#009E73
VHI_Summer,VHI_Sum,Productivity,#009E73
CO2_Emissions,CO2_Emissions,Atm,#E69F00
WB_PVOUT,WB_PVOUT,Solar,#F0E442
WB_GHI,WB_GHI,Solar,#F0E442
WB_DIF,WB_DIF,Solar,#F0E442
WB_GTI,WB_GTI,Solar,#F0E442
WB_OPTA,WB_OPTA,Solar,#F0E442
WB_DNI,WB_DNI,Solar,#F0E442
WB_TEMP,WB_TEMP,Solar,#F0E442
WC_ELE,WC_ELE,Solar,#F0E442
GPCC_Spring,GPCC_Spr,Water,#56B4E9
GPCC_Summer,GPCC_Sum,Water,#56B4E9
WC2_Tmin_spring,WC2_Tmin_Spr,Temp,#D55E00
WC2_Tmin_summer,WC2_Tmin_Sum,Temp,#D55E00
WC2_Tmax_spring,WC2_Tmax_Spr,Temp,#D55E00
WC2_Tmax_summer,WC2_Tmax_Sum,Temp,#D55E00
WC2_Pre_spring,WC2_Pre_Spr,Water,#56B4E9
WC2_Pre_summer,WC2_Pre_Sum,Water,#56B4E9
WC2_Solar_radiation_spring,WC2_Solar_radiation_Spr,Solar,#F0E442
WC2_Solar_radiation_summer,WC2_Solar_radiation_Sum,Solar,#F0E442
WC2_Average_temperature_spring,WC2_Average_temperature_Spr,Temp,#D55E00
WC2_Average_temperature_summer,WC2_Average_temperature_Sum,Temp,#D55E00
WC2_Water_vapor_pressure_spring,WC2_Water_vapor_pressure_Spr,Water,#56B4E9
WC2_Water_vapor_pressure_summer,WC2_WVP_Sum,Water,#56B4E9
WC2_BIO1,WC2_BIO1,Temp,#D55E00
WC2_BIO2,WC2_BIO2,Temp,#D55E00
WC2_BIO3,WC2_BIO3,Temp,#D55E00
WC2_BIO4,WC2_BIO4,Temp,#D55E00
WC2_BIO5,WC2_BIO5,Temp,#D55E00
WC2_BIO6,WC2_BIO6,Temp,#D55E00
WC2_BIO7,WC2_BIO7,Temp,#D55E00
WC2_BIO8,WC2_BIO8,Temp,#D55E00
WC2_BIO9,WC2_BIO9,Temp,#D55E00
WC2_BIO10,WC2_BIO10,Temp,#D55E00
WC2_BIO11,WC2_BIO11,Temp,#D55E00
WC2_BIO12,WC2_BIO12,Water,#56B4E9
WC2_BIO13,WC2_BIO13,Water,#56B4E9
WC2_BIO14,WC2_BIO14,Water,#56B4E9
WC2_BIO15,WC2_BIO15,Water,#56B4E9
WC2_BIO16,WC2_BIO16,Water,#56B4E9
WC2_BIO17,WC2_BIO17,Water,#56B4E9
WC2_BIO18,WC2_BIO18,Water,#56B4E9
WC2_BIO19,WC2_BIO19,Water,#56B4E9
CHELSA_Tmin_summer,CHELSA_Tmin_Sum,Temp,#D55E00
CHELSA_Tmin_spring,CHELSA_Tmin_Spr,Temp,#D55E00
CHELSA_Tmax_spring,CHELSA_Tmax_Spr,Temp,#D55E00
CHELSA_Tmax_summer,CHELSA_Tmax_Sum,Temp,#D55E00
CHELSA_Tmean_spring,CHELSA_Tmean_Spr,Temp,#D55E00
CHELSA_Tmean_summer,CHELSA_Tmean_Sum,Temp,#D55E00
CHELSA_Interann_Temp,CHELSA_Interann_Temp,Temp,#D55E00
CHELSA_Pre_spring,CHELSA_Pre_Spr,Water,#56B4E9
CHELSA_Pre_summer,CHELSA_Pre_Sum,Water,#56B4E9
CHELSA_Interann_pre,CHELSA_Interann_pre,Water,#56B4E9
CHELSA_BIO1,CHELSA_BIO1,Temp,#D55E00
CHELSA_BIO2,CHELSA_BIO2,Temp,#D55E00
CHELSA_BIO3,CHELSA_BIO3,Temp,#D55E00
CHELSA_BIO4,CHELSA_BIO4,Temp,#D55E00
CHELSA_BIO5,CHELSA_BIO5,Temp,#D55E00
CHELSA_BIO6,CHELSA_BIO6,Temp,#D55E00
CHELSA_BIO7,CHELSA_BIO7,Temp,#D55E00
CHELSA_BIO8,CHELSA_BIO8,Temp,#D55E00
CHELSA_BIO9,CHELSA_BIO9,Temp,#D55E00
CHELSA_BIO10,CHELSA_BIO10,Temp,#D55E00
CHELSA_BIO11,CHELSA_BIO11,Temp,#D55E00
CHELSA_BIO12,CHELSA_BIO12,Water,#56B4E9
CHELSA_BIO13,CHELSA_BIO13,Water,#56B4E9
CHELSA_BIO14,CHELSA_BIO14,Water,#56B4E9
CHELSA_BIO15,CHELSA_BIO15,Water,#56B4E9
CHELSA_BIO16,CHELSA_BIO16,Water,#56B4E9
CHELSA_BIO17,CHELSA_BIO17,Water,#56B4E9
CHELSA_BIO18,CHELSA_BIO18,Water,#56B4E9
CHELSA_BIO19,CHELSA_BIO19,Water,#56B4E9
CRU_Cld_spring,CRU_Cld_Spr,Solar,#F0E442
CRU_Cld_summer,CRU_Cld_Sum,Solar,#F0E442
CRU_Dtr_spring,CRU_Dtr_Spr,Temp,#D55E00
CRU_Dtr_summer,CRU_Dtr_Sum,Temp,#D55E00
CRU_Frs_spring,CRU_Frs_Spr,Temp,#D55E00
CRU_Frs_summer,CRU_Frs_Sum,Temp,#D55E00
CRU_Pre_spring,CRU_Pre_Spr,Water,#56B4E9
CRU_Pre_summer,CRU_Pre_Sum,Water,#56B4E9
CRU_Tmp_spring,CRU_Tmp_Spr,Temp,#D55E00
CRU_Tmp_summer,CRU_Tmp_Sum,Temp,#D55E00
CRU_Tmn_spring,CRU_Tmn_Spr,Temp,#D55E00
CRU_Tmn_summer,CRU_Tmn_Sum,Temp,#D55E00
CRU_Tmx_spring,CRU_Tmx_Spr,Temp,#D55E00
