"","MR1","MR2","MR3","MR4","MR5","MR6","MR7","MR8","MR9","MR10","GT","FT","Fit"
"MR1",0.464882672095698,0.338231219706142,-0.285219316219405,-0.428349053173382,0.012205788879631,0.00977809106808798,0.0831544345627731,0.340203968222509,-0.170617716493838,-0.0353382435486813,0.0280029622702329,-0.0397939744615272,0.0286289341496956
"MR2",0.403461757004875,0.793214109185282,0,0,0,2.28703586270946e-21,0,0,0,0,0,-1.6207720762873e-21,0.107904673101221
"MR3",-0.30802798857984,0,0.77997242172356,-0.0059928881509574,-0.0893107401791398,0.0355602588030212,-0.00741044672931974,-0.024004617152002,-0.306057837789154,0.00214601537926528,-0.2679724232858,-0.105150757656108,-0.0674630500439393
"MR4",-0.397641811514644,0,0.0123514359421599,0.769220557465911,0,0.289681761251207,0,0.514732370832214,0,0.272637689800546,0.10408087804523,0.076932578555099,0.125351166979431
"MR5",0.0297678607368596,0,-0.0381710391493153,0,0.758989206123432,-0.464457080619202,0,0,0,-0.504513814789191,0.341671987264342,-0.121821762366016,-0.0112332774804242
"MR6",0.0125136307947999,3.94480774889382e-21,0.0178510592561742,0.239106353063147,-0.400428246661127,0.460476955940713,0.757597279679098,0.11971257391368,3.07446773756141e-21,0.411152013327345,-0.104812335162905,0.220969891287299,0.508559170481294
"MR7",0.15415344988066,0,-0.00125121530472065,0,0,0.640230843802345,0.373821565440998,0,0,0.156265544152108,0.0397229041139043,0.133086360045563,0.458370794634297
"MR8",0.279590717911788,0,0.000211440035519664,0.287390789263248,0,0.0685478683065428,0,0.64329185219495,0,0.528847140021282,0.153987876267932,0.0287514868284727,-0.0642003439125805
"MR9",-0.175998008785645,0,-0.164553373845607,0,0,5.30301441818581e-21,0,0,0.613220324377156,0,0,0.374776022935315,0.217784800592211
"MR10",0.0171935022795914,0,0.00586175184277826,0.100252322110403,-0.331372504367867,0.211064828626301,0.102736259937752,0.346679559598246,0,0.617572197349463,0.0696987378838854,0.0975665151792724,-0.106967109204393
"GT",0.0576346355366338,0,-0.121426552330245,0.0301627386924746,0.208354613378246,-0.0708117527497691,0.012691604524581,0.0544565453888244,0,0.0580349923285885,0.17460662186256,-0.0296535099660922,-0.044904785958632
"FT",-0.0734921406405419,-2.20111513810582e-21,-0.0315680367639197,0.0285065631348453,-0.0426000737289633,0.0823491799199825,0.0370013142074507,0.00810546906368766,0.202139824427218,0.0221086143771179,-0.0070767414166802,0.785959432668903,0.369952650601747
"Fit",0.00444784635115958,0.0707509905848173,-0.0288299762495596,0.0654621529649705,0.0364471574007269,0.240919906888991,0.182354004666337,-0.0362359962100663,0.125697494973476,-0.128603993536468,-0.0128086548492911,0.17146114795077,0.423694824479249
