"","MR1","MR2","MR3","MR4","MR5","MR6","MR7","MR8","MR9","MR10","GT","FT","Fit"
"MR1",0.917041806082259,-0.115447898091754,0.130154716484766,0.142769157963123,-0.0433113866023361,-0.15565823757383,-0.000275768732573903,-0.189626869676271,-0.0319673601903067,0.174324190446768,-0.0384620449249187,0.0178666271561752,0.0286289341496956
"MR2",0.403461757004875,0.776743766560684,0,0,0,2.28703586270946e-21,0,0,0,0,0,-1.6207720762873e-21,0.107904673101221
"MR3",-0.30802798857984,0.141324352832953,0.792745223505355,-0.0059928881509574,-0.0893107401791398,0.0355602588030212,-0.00741044672931974,-0.024004617152002,-0.306057837789154,0.00214601537926528,-0.2679724232858,-0.105150757656108,-0.0674630500439393
"MR4",-0.397641811514644,0.0459958907517062,-0.033481096918098,0.891991879181947,0,0.289681761251207,0,0.514732370832214,0,0.272637689800546,0.10408087804523,0.076932578555099,0.125351166979431
"MR5",0.0297678607368596,-0.144152601401497,0.0931144019691997,0.0851693604224961,0.713592701144998,-0.464457080619202,0,0,0,-0.504513814789191,0.341671987264342,-0.121821762366016,-0.0112332774804242
"MR6",0.0125136307947999,0.0838345181183777,-0.0350114668470731,0.0147422467025623,0.105837048732805,0.865193367594964,0.757597279679098,0.11971257391368,3.07446773756141e-21,0.411152013327345,-0.104812335162905,0.220969891287299,0.508559170481294
"MR7",0.15415344988066,-0.0474610627700958,0.0388056702503287,-0.0469690112714017,0.224362255564685,0.19761134696436,0.180694457923667,0,0,0.156265544152108,0.0397229041139043,0.133086360045563,0.458370794634297
"MR8",0.279590717911788,-0.101973922063907,0.11825852332026,0.230574155554789,0.0449132697890287,-0.0434312463908349,-0.0231150889984169,0.433725086542942,0,0.528847140021282,0.153987876267932,0.0287514868284727,-0.0642003439125805
"MR9",-0.175998008785645,0.065145990133756,-0.10726048000558,-0.187855737396029,-0.17767750800322,-0.0802655762415554,0.174814280962838,0.438126524856996,0.531669608768658,0,0,0.374776022935315,0.217784800592211
"MR10",0.0171935022795914,0.113733428186364,-0.0510243061306004,-0.0386431008157529,0.174538230652575,0.208634713565777,-0.299914680514522,-0.0514493921459728,0.212996765385255,0.783856360323175,0.0696987378838854,0.0975665151792724,-0.106967109204393
"GT",0.0576346355366338,-0.0605830068147437,-0.0270979474784525,0.0583839092439587,0.256079697227498,-0.00578170705229999,-0.00627071489542964,-0.0961351181586286,-0.017711001521021,0.158900829675289,0.226493529182867,-0.0296535099660922,-0.044904785958632
"FT",-0.0734921406405419,0.0546862248348678,-0.0478563232445874,-0.0642150803387685,-0.012729777032496,-0.00170043229854538,0.0169369041469033,0.108930500879208,-0.0215030632599378,-0.0169901783932141,0.00547622043668051,0.877093936537497,0.369952650601747
"Fit",0.0232575961043432,-0.014299217361603,0.0619987089869409,0.0217369740602425,0.0157796804929211,0.142790319817817,-0.0662117461518246,0.0278239319219894,0.0237725194887173,-0.103754228260381,0.0513209628024708,0.0828279024621078,0.644791589127035
