"","MR1","MR2","MR9","MR6","MR11","MR3","MR5","MR4","MR7","MR8","MR10"
"CO_Spr",0.403074248422789,0.169639364025304,-0.611545557715361,-0.0705934105362604,-0.0329570131949368,0.00283513872661116,-0.255244570699053,-0.0296349140220764,0.0540679647864739,0.150450028090107,-0.154996649161008
"CO_Sum",0.127218984345865,0.00989086726958618,-0.850450735807105,-0.107547996510144,0.102462619875252,-0.00212965150534024,-0.255541880880655,-0.132347303890624,-0.00378210648398946,0.0307992466809586,0.0205403785885507
"NO2_Spr",0.627763973128215,0.38804620305746,0.129935074136571,0.0916148700150181,-0.129288248424291,0.0275400316135626,-0.0487253489809701,0.176744684159383,0.0616118242325605,0.0904481317048511,0.0650017049638268
"O3_Sum",0.619648546955402,-0.10458455147036,-0.340867031164048,0.0373136439060869,-0.416547488727251,-0.143544740615152,-0.235113478260438,0.0326722145826932,0.0342932953307239,0.0285811825738267,-0.270499663874721
"Net_rad_Sum",-0.725038793328204,0.212797591036372,0.298746667494686,0.0696451198117184,0.0358371112804619,0.103981607769078,0.129982566612583,0.226861656192469,-0.117426667680736,0.00212742609451975,0.276365212403663
"WEA_Spr",-0.273285315361178,0.0350324028014249,0.411357225067352,-0.13412241410777,0.43939539396029,-0.0947151751010312,0.055932538595736,0.0720344223326215,-0.00879177929122409,-0.280741161553895,-0.310783930079322
"Prec_water_Spr",0.0449056081829787,0.866114029139743,0.0821786588495311,0.0661087582667842,0.00533761477739237,-0.194912127346283,0.149808647911128,0.153425455947724,0.00672274844095213,0.110475577063556,-0.0245740384472068
"Prec_water_Sum",0.131012372047182,0.844251588452508,-0.225859909640614,0.204927117346062,0.175250877492243,0.084473680037048,0.0581527266649047,0.100903248223028,-0.0191710233799164,-0.00915891722212638,0.106263721241477
"NDVI_Spr",-0.12451154120157,0.188374619712377,0.391864907854843,0.603385215416634,-0.325910766138293,-0.147815327611641,-0.0175375701348928,-0.101112943236725,0.0122004832878883,0.234686008441311,-0.28647155745802
"LAI_Sum",0.210698898701265,-0.0972741929217675,-0.147384690364324,0.837087185225242,-0.11502257772669,0.0604010653435964,0.0286350319750825,-0.209097419617909,-0.0570971993624796,0.187293581335643,-0.0846793645211813
"ET",0.0834301351275689,0.308588175241362,-0.00747719406438212,0.666988592192078,-0.0332837958083436,0.0258249659404648,0.289811800897984,-0.0865273409533394,-0.048648813702851,0.0697089838469902,0.11987235520145
"GPP_Sum",0.25656866911308,-0.0141893779289978,-0.0164810600675711,0.750376440357695,-0.243204779292623,0.205097156752012,0.116050380570989,-0.141681698409293,-0.0335438899247157,0.119703664449691,-0.0517210210125681
"NPP_Sum",0.345143838028373,-0.332447105398051,-0.00892720033445734,0.680950684729271,-0.236508727045538,0.170357917833782,-0.00246016369626706,-0.175552978734418,-0.0648502881873509,0.136559446327055,0.109948037764164
"SMT_Spr",-0.360411767799356,0.250100102938419,0.703522696989457,-0.200554243181141,0.0491826256088329,0.117468722489781,0.0148240735653683,-0.378298408150887,0.0286978047421764,0.0196281920160613,0.0190335379570859
"SMT_Sum",-0.586355351970711,0.145391330392979,0.482406765016787,-0.371519264050783,0.325410625742004,0.041014184066686,-0.0810389928126113,-0.174443543282722,-0.103214236347366,-0.118516968055857,-5.93818829459984e-05
"SMN_Spr",0.110962260318598,0.256122593586637,0.481351729053212,0.361873299197063,-0.238567985343145,-0.143441467056242,0.00206545750107372,-0.128121548215612,0.40502038984438,-0.00570449037930567,-0.250335019663743
