"Var1","Var2","value"
"BLDFIE","MR1",-0.667098747924022
"CHELSA_Interann_Temp","MR1",0.674227608657259
"CHELSA_Tmax_Spr","MR1",-0.670122421448311
"CO_Spr","MR1",0.733842701698363
"CO_Sum","MR1",0.880226613485587
"SMN_Spr","MR1",-0.525698014784494
"SMT_Spr","MR1",-0.757876303338522
"HWSD_Topsoil_sand_fraction","MR10",-0.735225085012966
"IGBP_DIS_Soil_pH","MR10",0.703576818611233
"SS_pH","MR10",0.848097035980903
"CHELSA_BIO17","MR2",0.843526202188885
"CRU_Cld_Spr","MR2",0.700037018514304
"CRU_Cld_Sum","MR2",0.870034977776886
"CRU_Wet_Spr","MR2",0.73683813346793
"CRU_Wet_Sum","MR2",0.885805024458461
"GPCC_Sum","MR2",0.742942631124716
"Net_rad_Sum","MR2",-0.697130630444447
"NO2_Spr","MR2",0.544848569924542
"O3_Sum","MR2",0.739379553229726
"SMT_Sum","MR2",-0.761325848411245
"WB_DNI","MR2",-0.831834550960842
"WC2_BIO15","MR2",-0.63941382894239
"CHELSA_BIO2","MR3",0.873096005612
"CRU_Dtr_Spr","MR3",0.856013513904435
"Dist2Coast","MR3",0.689255224664389
"WC2_BIO2","MR3",0.775609356995664
"WEA_Spr","MR3",0.699276958953155
"CHELSA_Tmin_Spr","MR4",0.698219664100724
"CRU_Frs_Spr","MR4",-0.634639106825887
"CRU_Tmn_Sum","MR4",0.802098736931751
"CRU_Vap_Spr","MR4",0.751893468038278
"CRUVap_Sum","MR4",0.829501151082029
"Prec_water_Spr","MR4",0.795223125464084
"Prec_water_Sum","MR4",0.76638499010098
"SuitAg","MR4",0.555041193847038
"WC2_WVP_Sum","MR4",0.750965660349133
"ET","MR5",0.74575945452917
"GPP_Sum","MR5",0.905328474263901
"LAI_Sum","MR5",0.939361415454974
"NDVI_Spr","MR5",0.643167838332401
"NPP_Sum","MR5",0.814165405811494
"SMN_Sum","MR5",0.735700277233297
"TCI_Spr","MR6",0.923395938080702
"TCI_Sum","MR6",0.88496112316104
"VCI_Spr","MR7",0.7336740917736
"VCI_Sum","MR7",0.706739844078974
"VHI_Spr","MR7",0.81564552453498
"CHELSA_BIO3","MR8",-0.602029620163841
"CHELSA_BIO8","MR8",0.871206657182158
"HWSD_Topsoil_ref_bulk_dens","MR8",0.535212086964854
"WC2_BIO19","MR8",-0.758553225711388
"WC2_BIO8","MR8",0.788276669342969
"CHELSA_BIO13","MR9",0.957654808428495
"CHELSA_Interann_pre","MR9",0.929384866878168
"CHELSA_Pre_Spr","MR9",0.866896240248596
