id,site,water,indpop,Germination_time,Green,Red,Survival_flowering,Flowering_time,Inflorescence_size,Survival_num,Survival_fruit,Fruits,Seeds,Infloresncence_byind,Fruits_byind,Seeds_byind,Fitness
10006,madrid,h,i,18.8,53059.984,89.51380952,1,120.8,725676,1,1,662.6951666,18754.27321,725676,662.6951666,18754.27321,18754.27321
10006,madrid,h,p,26.5,60634.3025,38.31488095,1,120.25,1119715.25,16.5,1,997.766783,28236.79996,190934.6417,170.190737,4816.397857,941.2266653
10006,madrid,l,i,16,35656.83833,34.9186508,0.333333333,134.5,169985,1,0.166666667,150.578828,4261.380833,169985,150.578828,4261.380833,710.2301388
10006,madrid,l,p,26.25,43278.095,700.375,0.5,135,45664,0.25,0.25,39.8337378,1127.294781,45664,39.8337378,1127.294781,9.394123175
10006,tuebingen,h,i,22.42857143,45309.21286,98.9719888,0.857142857,165.1666667,306689.8333,1,0.857142857,245.1887955,6938.842913,306689.8333,245.1887955,6938.842913,5947.579639
10006,tuebingen,h,p,24.66666667,102307.9683,345.212963,1,164.25,777726.25,10.33333333,0.666666667,622.0614595,17604.3393,53916.06092,42.94709047,1215.40266,391.2075401
10006,tuebingen,l,i,19.85714286,32200.78714,379.7460317,0.714285714,165.8,NA,1,0,NA,NA,NA,NA,NA,0
10006,tuebingen,l,p,20.2,71418.778,353.8555555,0.4,169.5,321308,2.6,0.2,247.3961345,7001.310605,24716,19.03047188,538.5623542,46.67540403
10014,madrid,h,i,24.85714286,31147.67714,43.08095239,1,123.5714286,735492.5,1,0.857142857,642.7102885,18188.70116,735492.5,642.7102885,18188.70116,15590.31528
10014,madrid,h,p,24,75502.5475,29.86964285,1,124,899625.25,7.25,1,747.1903018,21145.48554,294554.131,244.1231329,6908.68466,704.849518
10014,madrid,l,i,14.6,34305.976,46.56190476,0.4,127,130035,1,0.4,117.1494043,3315.328142,130035,117.1494043,3315.328142,1326.131257
10014,madrid,l,p,20,41652.55333,26.31190477,0.333333333,107,NA,0,0,NA,NA,NA,NA,NA,0
10014,tuebingen,h,i,23,44327.98657,180.952381,0.857142857,162.5,540721.6,1,0.714285714,431.0703986,12199.29228,540721.6,431.0703986,12199.29228,8713.780199
10014,tuebingen,h,p,24.4,128326.4,86.92222222,1,162.4,1110527,11.2,0.6,892.772831,25265.47112,61811.01046,49.88451183,1411.731685,505.3094223
10014,tuebingen,l,i,19.14285714,30817.11714,403.718254,0.714285714,166.2,210040,1,0.571428571,165.3044466,4678.11584,210040,165.3044466,4678.11584,2673.209051
10014,tuebingen,l,p,24.4,48714.682,957.6055556,0.4,168,281093,14.4,0.6,214.6858324,6075.609058,15825.58333,11.97287351,338.8323203,121.5121812
10020,madrid,h,i,20.16666667,40265.48333,61.73611112,1,106.1666667,710145.1667,1,1,596.5062449,16881.12673,710145.1667,596.5062449,16881.12673,16881.12673
10020,madrid,h,p,20.6,62802.908,12.20571428,1,103.6,871912,21.6,1,726.8521442,20569.91568,69223.64,58.95742861,1668.49523,685.663856
10020,madrid,l,i,16.66666667,20646.94417,39.70396827,1,111.8333333,69836.4,1,0.833333333,57.96328198,1640.36088,69836.4,57.96328198,1640.36088,1366.9674
10020,madrid,l,p,30,37990.816,53.27095238,0.6,123.6666667,120578,0.8,0.6,101.5228974,2873.097996,110173.8333,92.1980819,2609.205717,57.46195992
10020,tuebingen,h,i,23.28571429,40762.07571,126.1848739,0.857142857,151.6666667,575021.4286,1,1,451.6088964,12780.53177,575021.4286,451.6088964,12780.53177,12780.53177
10020,tuebingen,h,p,29.33333333,83488.18,898.4722222,1,154.5,673781.6667,15.33333333,1,541.4912606,15324.20268,56439.23272,45.89648591,1298.870551,510.8067559
10020,tuebingen,l,i,18.14285714,38823.64,516.4743231,1,155.5714286,245878.25,1,0.571428571,189.48346,5362.381916,245878.25,189.48346,5362.381916,3064.218238
10020,tuebingen,l,p,28,56935.6222,708.4888889,0.6,162.3333333,429927,2,0.2,308.2265164,8722.810413,42992.7,30.82265164,872.2810413,58.15206942
1552,madrid,h,i,22.14285714,58093.12714,109.5044218,1,114.1428571,578028.4286,1,1,504.9166602,14289.14148,578028.4286,504.9166602,14289.14148,14289.14148
1552,madrid,h,p,25.6,68547.948,214.2638095,1,119.2,825675.6,15.2,1,759.4751955,21493.14803,301080.21,271.2368656,7676.003297,716.4382678
1552,madrid,l,i,25.33333333,41162.83333,282.0801587,0.333333333,114,NA,1,0,NA,NA,NA,NA,NA,0
1552,madrid,l,p,23,43500.95,76.21999998,0.4,132.5,243404,0.2,0.2,224.7510726,6360.455355,243404,224.7510726,6360.455355,42.4030357
1552,tuebingen,h,i,20.71428571,45736.50714,111.4365079,1,163.7142857,499641,1,1,418.9701402,11856.85497,499641,418.9701402,11856.85497,11856.85497
1552,tuebingen,h,p,23,116830.942,1628.288889,1,163,687519.3333,13.6,0.6,562.938415,15931.15714,30432.43347,24.92298077,705.3203557,318.6231429
1552,tuebingen,l,i,20.85714286,26226.73,531.2142857,0.714285714,164.2,197910,1,0.571428571,158.2043409,4477.182849,197910,158.2043409,4477.182849,2558.390199
1552,tuebingen,l,p,22.4,57658.722,1112.622222,0.4,166,NA,0,0,NA,NA,NA,NA,NA,0
