CO_Spring CO_Summer NO2_Spring NO2_Summer O3_Spring O3_Summer Solar_insolation_spring Solar_insolation_summer UV_index_spring UV_index_summer Solar_insolation_spring.1 Solar_insolation_summer.1 Net_radiation_spring Net_radiation_summer WATER_EQUIVALENT_ANOMALY_spring WATER_EQUIVALENT_ANOMALY_summer Precipitable_water_spring Precipitable_water_summer LTemp_day_spring LTemp_day_summer Ltemp__night_spring Ltemp__night_summer NDVI_Spring NDVI_Summer LAI_Spring LAI_Summer PET ET LE GPP_Spring GPP_Summer NPP_Spring NPP_Summer Topography SRTM_elevation SMT_Spring SMT_Summer SMN_Spring SMN_Summer TCI_Spring TCI_Summer VCI_Spring VCI_Summer VHI_Spring VHI_Summer CO2_Emissions WB_PVOUT WB_GHI WB_DIF WB_GTI WB_OPTA WB_DNI WB_TEMP WC_ELE GPCC_Spring GPCC_Summer WC2_Tmin_spring WC2_Tmin_summer WC2_Tmax_spring WC2_Tmax_summer WC2_Pre_spring WC2_Pre_summer WC2_Solar_radiation_spring WC2_Solar_radiation_summer WC2_Average_temperature_spring WC2_Average_temperature_summer WC2_Water_vapor_pressure_spring WC2_Water_vapor_pressure_summer WC2_BIO1 WC2_BIO2 WC2_BIO3 WC2_BIO4 WC2_BIO5 WC2_BIO6 WC2_BIO7 WC2_BIO8 WC2_BIO9 WC2_BIO10 WC2_BIO11 WC2_BIO12 WC2_BIO13 WC2_BIO14 WC2_BIO15 WC2_BIO16 WC2_BIO17 WC2_BIO18 WC2_BIO19 CHELSA_Tmin_Spring CHELSA_Tmin_spring CHELSA_Tmax_spring CHELSA_Tmax_summer CHELSA_Tmean_spring CHELSA_Tmean_summer CHELSA_Interann_Temp CHELSA_Pre_spring CHELSA_Pre_summer CHELSA_Interann_pre CHELSA_BIO1 CHELSA_BIO2 CHELSA_BIO3 CHELSA_BIO4 CHELSA_BIO5 CHELSA_BIO6 CHELSA_BIO7 CHELSA_BIO8 CHELSA_BIO9 CHELSA_BIO10 CHELSA_BIO11 CHELSA_BIO12 CHELSA_BIO13 CHELSA_BIO14 CHELSA_BIO15 CHELSA_BIO16 CHELSA_BIO17 CHELSA_BIO18 CHELSA_BIO19 CRU_Cld_spring CRU_Cld_summer CRU_Dtr_spring CRU_Dtr_summer CRU_Frs_spring CRU_Frs_summer CRU_Pre_spring CRU_Pre_summer CRU_Tmp_spring CRU_Tmp_summer CRU_Tmn_spring CRU_Tmn_summer CRU_Tmx_spring CRU_Tmx_summer CRU_Vap_spring CRUVap_summer CRU_Wet_spring CRU_Wet_summer CRU_PET_Spring CRU_PET_Summer Bedrock_topography dNPPdP dNPPdT CRU_NPP NPP_based_on_GPCP NPP_based_on_GPCP_VASClimO GPCC_VASClimO_Precipitation CRU_Precipitation CRU_Temperature Griesser_Precip_GPCC GPCC_Fulldata_Precipitation Aridity_index_of_De_Martonne_GPCC_Fulldata Aridity_index_of_De_Martonne_GPCC_VASClimO Aridity_index_of_De_Martonne_CRU HWSD_Topsoil_ref_bulk_dens HWSD_Topsoil_clay_fraction HWSD_Topsoil_gravel_content HWSD_Topsoil_silt_fraction HWSD_Topsoil_sand_fraction HWSD_Topsoil_organic_carbon HWSD_Topsoil_pH HWSD_Subsoil_ref_bulk_dens HWSD_Subsoil_clay_fraction HWSD_Subsoil_gravel_content HWSD_Subsoil_silt_fraction HWSD_Subsoil_sand_fraction HWSD_Subsoil_organic_carbon HWSD_Subsoil_pH HWSD_Spatially_dominan_major_soil_group_FAO ISRIC_WISE_SoilCarbonate_Carbon_Dens ISRIC_WISE_Soil_Org_Carbon_Dens ISRIC_WISE_Soil_pH ISRIC_WISE_Total_AvailWater_cap SoilGrids_BDRICM SoilGrids_BLDFIE SoilGrids_CECSOL SoilGrids_CLYPPT SoilGrids_CRFVOL SoilGrids_OCSTHA SoilGrids_ORCDRC SoilGrids_PHIHOX SoilGrids_PHIKCL SoilGrids_SLTPPT SoilGrids_SNDPPT SoilGrids_TAXNWRB SoilGrids_TAXOUSDA GAEZ_Nutrient_availability GAEZ_Nutrient_retention_capacity GAEZ_Rooting_conditions GAEZ_Oxygen_availability_to_roots GAEZ_Excess_salts GAEZ_Toxicity Plant_Extractable_Water_Capacity_of_Soil IGBP_DIS_Soil_pH Suitability_for_Agriculture Growing_degree_days Distance_to_the_coast Bailey_ecoregions Land_cover_2000 Distribution_of_Cultivation_Intensity Koppen_Geiger Geological_ages Soil_types
108 129.8865215 96.0781338 201.7716535 125.9842514 358.3631583 329.6349302 -1.31e-06 -2.27e-06 5.14509813 7.529411793 96.16666667 120.9166667 138.0740741 160.8888889 129.3461538 112.0416667 1.594960632 2.602362216 15.0524931 22.58530172 5.95800511 9.265091737 101.1333333 192.8 1.109781959 1.279120287 9714 4858 328 1254.222222 1886.8 1.940944876 2.812163296 30 92 287.2897495 293.2897511 0.548820538 0.665641056 19.79333293 24.99769161 50.87076791 58.57435804 35.33230689 41.78615301 NA 2.861000061 3.022000074 1.656000018 3.49000001 35 2.513000011 11.60000038 92 75.33333333 50.66666667 5.766666571 12.86666679 13.89999994 19.40000025 80 55.33333333 14432.66667 18218.33333 9.833333333 16.13333289 0.953333338 1.446666638 11.17083336 6.925000012 39.57142702 398.0604032 19.70000076 2.200000048 17.50000072 7.483333309 16.13333352 16.25000016 6.650000056 1091 132 49 31.80493355 387 166 193 371 4.806860209 11.64252313 15.96179899 22.26209132 10.0623614 16.04540126 6.070433617 73.39296468 54.20973969 140.1202393 11.59566402 10.83677483 48.92136765 349.3696289 22.71927261 0.567872524 22.15140152 8.768836975 15.96395874 16.74720955 7.141009331 1037.721436 140.1691895 52.24186325 33.96037674 401.8606873 160.5955048 166.118927 306.749054 65.69666667 62.17666667 6.943333333 7.536666667 3.666666667 0.333333333 95.68 78.9 105.2 16.68666667 70.76666667 129.4666667 14.02 20.48333333 10.42333333 15.49655172 1.677633333 1.125133333 NA NA 34 1.078671938 0 1537.603979 1485.304524 1422.545178 958.7516206 1198.439526 11.46224308 958.7516206 3.043478261 47.82608696 45.05928854 55.7312253 1.386999965 21.39999962 6.050000191 38.25 40.34999847 0.391499996 6.364999771 1.468000054 26.14999962 8.399999619 36.54999924 37.29999924 0.391499996 6.65500021 9 0 0 0 0 200 1324 19 19 9 22 75 61 49 53 28 27 90 1 1 1 1 1 1 NA NA NA 2042 17 28 18 NA 15 20 NA
139 129.8865215 96.0781338 201.7716535 125.9842514 358.3631583 329.6349302 -1.31e-06 -2.27e-06 5.14509813 7.529411793 96.16666667 120.9166667 138.0740741 160.8888889 129.3461538 112.0416667 1.594960632 2.602362216 15.0524931 22.58530172 5.95800511 9.265091737 101.1333333 192.8 1.109781959 1.279120287 9714 4858 328 1254.222222 1886.8 1.940944876 2.812163296 30 92 287.2897495 293.2897511 0.548820538 0.665641056 19.79333293 24.99769161 50.87076791 58.57435804 35.33230689 41.78615301 NA 2.861000061 3.022000074 1.656000018 3.49000001 35 2.513000011 11.60000038 92 75.33333333 50.66666667 5.766666571 12.86666679 13.89999994 19.40000025 80 55.33333333 14432.66667 18218.33333 9.833333333 16.13333289 0.953333338 1.446666638 11.17083336 6.925000012 39.57142702 398.0604032 19.70000076 2.200000048 17.50000072 7.483333309 16.13333352 16.25000016 6.650000056 1091 132 49 31.80493355 387 166 193 371 4.806860209 11.64252313 15.96179899 22.26209132 10.0623614 16.04540126 6.070433617 73.39296468 54.20973969 140.1202393 11.59566402 10.83677483 48.92136765 349.3696289 22.71927261 0.567872524 22.15140152 8.768836975 15.96395874 16.74720955 7.141009331 1037.721436 140.1691895 52.24186325 33.96037674 401.8606873 160.5955048 166.118927 306.749054 65.69666667 62.17666667 6.943333333 7.536666667 3.666666667 0.333333333 95.68 78.9 105.2 16.68666667 70.76666667 129.4666667 14.02 20.48333333 10.42333333 15.49655172 1.677633333 1.125133333 NA NA 34 1.078671938 0 1537.603979 1485.304524 1422.545178 958.7516206 1198.439526 11.46224308 958.7516206 3.043478261 47.82608696 45.05928854 55.7312253 1.386999965 21.39999962 6.050000191 38.25 40.34999847 0.391499996 6.364999771 1.468000054 26.14999962 8.399999619 36.54999924 37.29999924 0.391499996 6.65500021 9 0 0 0 0 200 1324 19 19 9 22 75 61 49 53 28 27 90 1 1 1 1 1 1 NA NA NA 2042 17 28 18 NA 15 20 NA
159 129.9212589 92.5984256 229.0026237 159.4488195 358.0768294 324.146981 -1.74e-06 -1.11e-06 5.667973916 8.261438211 90.91666667 115.0416667 132.3703704 152.4814815 149.2307692 113.375 1.595905504 2.716535409 14.68503952 22.12598419 6.692913254 11.37795258 147.4 230.2 3.733333337 4.820078746 10045 6267 423 1335.740741 2117.6 3.266732287 4.161106474 66 420 287.5025705 294.4615432 0.680230806 0.716820544 20.66589695 11.61025617 58.00205006 11.91769219 39.33384538 11.76410228 3234.159912 3.131999969 3.273999929 1.587000012 3.812999964 35 3.029999971 9.600000381 401 77.66666667 75.66666667 3.733333309 13.40000025 13.33333302 20.43333308 67.66666667 71 14836 19675.66667 8.533333302 16.90000025 0.836666644 1.390000025 9.424999987 7.666666438 31.81189437 NA 20.89999962 -3.200000048 24.09999967 3.233333389 5.25000002 16.91666667 2.200000008 859 81 60 10.77574712 235 188 213 221 -0.068109254 9.112227758 20.42036819 29.31577428 9.246804078 17.73800151 9.179034233 85.17437744 84.04071554 137.6756592 9.960899353 19.63680077 51.73976898 590.8034668 30.10965919 -7.843538761 37.95319748 3.913485289 4.84360218 18.41896248 2.351086378 1003.508423 98.6413269 70.85420227 9.573981285 283.9663391 220.8618469 239.1797943 263.6769714 67.45 51.66666667 10.35666667 11.83333333 13.66666667 2.266666667 68.68333333 68.98333333 105.9333333 18.87 54.4 129.8 15.79666667 24.81333333 9.64 15.17586207 1.572733333 1.118933333 24.20833333 39.95833333 35 1.055051385 0 1202.887467 1433.005069 1453.924851 988.7126087 778.9856917 10.54801384 988.7126087 18.26086957 47.43083004 48.22134387 37.1541502 1.470000029 8.850000381 9.149999619 14.05000019 77.09999847 0.323333323 5.039999962 1.515555501 12.55555534 7.666666508 15.44444466 72 0.323333323 4.955555439 9 1 3 2 8 200 1111 28 15 13 28 102 54 40 42 43 27 89 2 2 2 1 1 1 15.5 6.126999855 0.741999984 1908 341 32 13 11 15 54 6
265 128.5496575 94.88188906 186.6797884 136.4829394 353.8296361 323.4788818 NA NA 5.898039262 8.449673494 100.6666667 129.1666667 143.2962963 166.1481481 138.9230769 134.5 1.960629897 3.194881886 17.07349141 24.51443545 10.73490794 15.14435673 124.8333333 141.7333333 1.595363065 1.936736349 11971 6950 468 1655.814815 2408.666667 2.653543337 3.138520492 13 41 291.3333388 296.8897486 0.405769251 0.46294874 9.359230536 8.189486904 63.22025446 59.75717809 36.28923005 33.97461495 NA 3.549999952 3.744999886 1.669999957 4.355000019 35 3.594000101 14.39999962 31 67.66666667 53.66666667 7.866666794 14.86666679 16.26666673 23.13333384 70 52.66666667 15934.66667 20650 12.0666666 19 1.089999974 1.723333319 13.15833348 8.316666881 38.32565248 486.3352588 24.20000076 2.5 21.70000076 8.100000064 19.00000032 19.26666705 7.383333286 949 114 43 27.230174 322 158 187 292 5.727300723 14.11666139 21.39081065 28.92779922 12.89198748 20.06178919 6.441008568 78.77389272 58.97620138 123.2052002 14.12963772 15.32760525 50.84244156 467.7444458 29.70471573 -0.442598581 30.14731407 12.62495518 20.6744957 20.8843441 8.147514343 968.977417 115.6538925 53.65710831 23.13989639 332.3929749 170.5084534 170.5178528 290.2001038 64.52666667 45.14 8.946666667 9.973333333 2.5 0.7 76.26333333 46.56 134.8333333 20.73333333 90.33333333 157.7333333 17.98 25.74666667 11.02 16.87931034 1.431533333 0.849333333 NA NA 33 1.078671938 0 1338.86605 1380.705614 1391.165505 928.7906324 898.8296443 13.74781621 928.7906324 11.73913044 39.13043478 39.5256917 37.94466403 1.269999981 9 19 13 78 0.310000002 5.599999905 1.5 10 14 13 77 0.310000002 5.300000191 29 1 3 0 0 200 1283 22 16 9 27 89 60 44 24 60 27 62 0 0 0 0 0 0 10.80000019 NA NA 2769 2.5 28 22 NA NA 72 NA
350 127.8912396 92.47594085 256.2335993 180.4461958 357.8382217 323.1925548 -2.14e-06 -2.51e-07 5.814379136 8.407843431 92.625 118.5833333 133.8148148 154.3703704 154.6923077 112.5 1.502362204 2.639763792 16.88976383 27.17847761 6.784776986 11.92913373 150.2333333 205.9333333 4.514933487 4.092519685 11600 7558 510 1627.851852 2397.6 3.369094463 3.914007463 54 250 289.0384701 297.1000069 0.660359007 0.595282079 25.7505122 24.70589687 19.67974318 6.150256327 22.71512773 15.42769208 3234.159912 3.249000072 3.427000046 1.611999989 3.98300004 35 3.236000061 10.60000038 250 75 74 4.066666643 14.33333365 16.06666692 23 59 72.33333333 14980.66667 20070 10.06666644 18.66666667 0.890000006 1.483333309 10.74583339 9.49166664 35.68295678 623.7950516 23.10000038 -3.5 26.60000038 16.80000035 6.700000068 18.66666683 3.300000081 774 79 47 16.01896413 217 152 217 174 1.892787099 11.00781091 22.47102737 31.30152257 11.16257064 19.74174118 8.88579464 67.05495199 62.96465174 95.8072052 11.64680862 19.69351006 51.67224121 611.8666382 31.97805977 -6.13430357 38.11236191 9.453596115 6.550180912 20.31268311 3.584550142 816.2045898 82.81821442 53.72047043 13.20816612 235.8219147 166.8418121 188.502121 206.3833618 66.89 49.08666667 10.24666667 11.69666667 12.73333333 2.8 73.78666667 77.52333333 102.6666667 18.86 51.63333333 130.4333333 15.41 24.74 9.426666667 14.95172414 1.580266667 1.125866667 23.58333333 40.5 34 0 88.89723315 1297.026486 1443.46496 1443.46496 1018.673597 868.8686561 10.31945652 1018.673597 19.56521739 48.61660079 49.40711463 41.8972332 1.292500019 45.65000153 10.19999981 28.20000076 26.14999962 0.560526311 6.724999905 1.358947396 42.89473724 22.94736862 27.7368412 29.36842155 0.560526311 6.952631474 9 1 3 5 8 200 1335 21 20 11 21 67 60 54 40 39 54 84 2 2 2 1 1 1 15 5.43900013 0.379000008 1855 336.5 32 13 1 15 52 7
351 127.8912396 92.47594085 256.2335993 180.4461958 357.8382217 323.1925548 -2.14e-06 -2.51e-07 5.814379136 8.407843431 92.625 118.5833333 133.8148148 154.3703704 154.6923077 112.5 1.502362204 2.639763792 16.88976383 27.17847761 6.784776986 11.92913373 150.2333333 205.9333333 4.514933487 4.092519685 11600 7558 510 1627.851852 2397.6 3.369094463 3.914007463 54 250 289.0384701 297.1000069 0.660359007 0.595282079 25.7505122 24.70589687 19.67974318 6.150256327 22.71512773 15.42769208 3234.159912 3.249000072 3.427000046 1.611999989 3.98300004 35 3.236000061 10.60000038 250 75 74 4.066666643 14.33333365 16.06666692 23 59 72.33333333 14980.66667 20070 10.06666644 18.66666667 0.890000006 1.483333309 10.74583339 9.49166664 35.68295678 623.7950516 23.10000038 -3.5 26.60000038 16.80000035 6.700000068 18.66666683 3.300000081 774 79 47 16.01896413 217 152 217 174 1.892787099 11.00781091 22.47102737 31.30152257 11.16257064 19.74174118 8.88579464 67.05495199 62.96465174 95.8072052 11.64680862 19.69351006 51.67224121 611.8666382 31.97805977 -6.13430357 38.11236191 9.453596115 6.550180912 20.31268311 3.584550142 816.2045898 82.81821442 53.72047043 13.20816612 235.8219147 166.8418121 188.502121 206.3833618 66.89 49.08666667 10.24666667 11.69666667 12.73333333 2.8 73.78666667 77.52333333 102.6666667 18.86 51.63333333 130.4333333 15.41 24.74 9.426666667 14.95172414 1.580266667 1.125866667 23.58333333 40.5 34 0 88.89723315 1297.026486 1443.46496 1443.46496 1018.673597 868.8686561 10.31945652 1018.673597 19.56521739 48.61660079 49.40711463 41.8972332 1.292500019 45.65000153 10.19999981 28.20000076 26.14999962 0.560526311 6.724999905 1.358947396 42.89473724 22.94736862 27.7368412 29.36842155 0.560526311 6.952631474 9 1 3 5 8 200 1335 21 20 11 21 67 60 54 40 39 54 84 2 2 2 1 1 1 15 5.43900013 0.379000008 1855 336.5 32 13 1 15 52 7
403 131.4345477 95.16959322 366.7978973 256.2335951 361.1787174 323.3357183 -5.25e-07 -9.85e-07 5.333333413 7.947712739 87.375 109.8333333 131.1851852 152.4074074 143.3846154 122.25 1.367244091 2.47047244 14.2257212 23.68766403 4.855643193 11.10236231 93.03333333 189.7333333 1.136573437 1.939960631 9961 5255 355 753.3703704 1750.866667 1.67224409 2.448508074 71 466 285.8487259 292.6102639 0.508128227 0.476487201 21.17461469 29.60410207 70.88487068 11.90589716 46.02948634 20.75538438 NA 2.961999893 3.107000113 1.603999972 3.588999987 35 2.750999928 7.699999809 422 48 77.66666667 2.066666683 12.73333359 13.16666698 20.16666667 41 72.66666667 14284 18530.66667 7.633333365 16.46666654 0.76333334 1.333333333 7.550000081 8.366666635 29.25407973 732.0208635 20.89999962 -7.699999809 28.59999943 16.45000013 -0.099999865 16.45000013 -1.433333258 533 82 24 44.10128708 218 76 218 78 -0.814877351 8.963970025 20.73429839 29.48674138 8.731466611 17.90855662 9.009572983 42.88369751 67.65047963 68.95719147 8.523247719 20.27671051 47.116745 724.6938477 30.03087807 -13.00416851 43.03504562 17.90477562 -0.943763137 18.29759979 -1.299527407 539.5244751 72.77470398 26.31786919 35.54907608 214.3397064 83.20244598 198.2984161 95.49029541 66.93666667 62.46 10.13333333 11.23 17.93333333 0.533333333 50.55 79.82666667 86.43333333 17.87 35.96666667 122.8 13.73333333 23.51 7.883333333 13.83448276 1.256766667 1.390533333 24.54166667 37.95833333 34 1.362118579 0 962.3099734 941.3901913 930.9303003 569.2587747 569.2587747 7.805326088 569.2587747 24.7826087 31.62055336 31.62055336 32.80632411 1.321499944 20.5 8.899999619 37.25 42.25 0.446315795 5.650000095 1.394736886 22.52631569 15.94736862 34.78947449 42.68421173 0.446315795 5.884210587 9 1 3 5 8 200 1094 33 14 12 32 143 53 51 41 46 27 84 1 1 2 1 1 1 14.19999981 5.597000122 0.493000001 1599 404.5 24 16 11 26 54 7
410 131.4345477 95.16959322 366.7978973 256.2335951 361.1787174 323.3357183 -5.25e-07 -9.85e-07 5.333333413 7.947712739 87.375 109.8333333 131.1851852 152.4074074 143.3846154 122.25 1.344566929 2.492125983 14.04199489 22.49343872 5.406823953 11.83727042 112.9666667 217.7666667 1.700108631 3.247216944 9570 4948 334 938.0740741 2107.566667 2.24311023 2.908516376 69 422 286.3076994 293.2974415 0.524410278 0.674435933 19.79871759 21.27769197 68.20051159 62.08102456 44.00025573 41.67871725 NA 2.90199995 3.071000099 1.595999956 3.523000002 35 2.64199996 7.800000191 381 48.66666667 78.66666667 2.533333381 13.10000006 13.13333352 20.09999975 40.66666667 71 14231 18639.33333 7.833333254 16.60000038 0.776666661 1.320000013 7.73749999 7.908333307 28.04373532 728.251718 20.89999962 -7.300000191 28.19999981 15.16666659 0.100000024 16.5999999 -1.26666673 522 80 23 44.33189137 213 74 213 75 -0.59993579 9.197353999 20.97384898 29.74558194 8.971080542 18.16091919 9.069112778 40.70379003 63.31990433 63.06305313 8.897524834 20.30493355 47.03445053 726.4515991 30.43488312 -12.735466 43.17034912 18.29294395 -0.595552921 18.68540382 -0.972067416 517.798645 68.50428772 25.39994431 33.87010574 202.3716736 80.98456573 184.9053192 94.01960754 66.93666667 62.46 10.13333333 11.23 17.93333333 0.533333333 50.55 79.82666667 86.43333333 17.87 35.96666667 122.8 13.73333333 23.51 7.883333333 13.83448276 1.256766667 1.390533333 24.54166667 37.95833333 34 1.362118579 0 962.3099734 941.3901913 930.9303003 569.2587747 569.2587747 7.805326088 569.2587747 24.7826087 31.62055336 31.62055336 32.80632411 1.321499944 20.5 8.899999619 37.25 42.25 0.446315795 5.650000095 1.394736886 22.52631569 15.94736862 34.78947449 42.68421173 0.446315795 5.884210587 9 1 3 5 8 200 1144 29 15 14 32 155 59 50 41 44 27 89 1 1 3 1 2 1 14.19999981 5.597000122 0.493000001 1599 410 24 16 11 26 67 7
424 131.4345477 95.16959322 366.7978973 256.2335951 361.1787174 323.3357183 -5.25e-07 -9.85e-07 5.333333413 7.947712739 87.375 109.8333333 131.1851852 152.4074074 143.3846154 122.25 1.352125981 2.458661427 14.04199521 22.95275561 4.855642955 10.91863505 97.06666667 203.3666667 1.30667934 2.435650275 10026 4148 280 871.3333333 1995.933333 1.780511818 2.653646896 71 498 285.6743641 292.4435941 0.531256433 0.637333367 22.30205043 31.04692253 73.72333204 54.47128095 48.01307595 42.75897339 7104.279785 2.980999947 3.104000092 1.603999972 3.605000019 35 2.765000105 7.400000095 499 49.33333333 79.33333333 2.00000004 12.53333314 12.5 19.56666692 43.33333333 75.33333333 14222 18503.33333 7.200000207 16.06666692 0.75333333 1.300000032 7.254166722 7.89166673 28.4897708 722.8870699 20.20000076 -7.5 27.70000076 16.05000003 -0.299999952 16.05000003 -1.599999944 560 85 26 42.74531589 226 82 226 85 -1.397669673 8.388356209 20.16409302 28.91710281 8.158154567 17.33148638 8.981633186 48.74988047 75.72692617 74.57675934 8.11969471 20.29014778 47.13424301 723.6505127 29.63110161 -13.41647243 43.04757309 17.49577141 -1.345676422 17.88456345 -1.660825849 622.6806641 81.18943024 31.21401978 31.65008736 237.6629639 100.2494431 221.2240448 117.891098 66.93666667 62.46 10.13333333 11.23 17.93333333 0.533333333 50.55 79.82666667 86.43333333 17.87 35.96666667 122.8 13.73333333 23.51 7.883333333 13.83448276 1.256766667 1.390533333 24.54166667 37.95833333 35 1.362118579 0 962.3099734 941.3901913 930.9303003 569.2587747 569.2587747 7.805326088 569.2587747 24.7826087 31.62055336 31.62055336 32.80632411 1.321499944 20.5 8.899999619 37.25 42.25 0.446315795 5.650000095 1.394736886 22.52631569 15.94736862 34.78947449 42.68421173 0.446315795 5.884210587 9 1 3 5 8 200 1213 28 17 14 30 131 60 52 43 40 27 89 1 1 2 1 1 1 14.19999981 5.597000122 0.493000001 1599 410.5 24 4 11 26 54 7
428 131.4345477 95.16959322 342.519683 243.1102363 361.3696012 323.4788818 -5.25e-07 -9.85e-07 5.333333413 7.947712739 87.08333333 109.2083333 131.1481481 152.5185185 143.3846154 122.25 1.352125981 2.458661427 14.04199521 22.95275561 4.855642955 10.91863505 97.06666667 203.3666667 1.30667934 2.435650275 9856 5065 342 871.3333333 1995.933333 1.780511818 2.653646896 71 521 285.5897514 292.6282098 0.426512838 0.513717972 22.42230715 31.66230698 44.20717831 11.98230744 33.31538396 21.82205096 228.9100037 2.983999968 3.107000113 1.600999951 3.611000061 35 2.76699996 7.300000191 506 49.66666667 80 1.699999968 12.33333333 12.5666666 19.63333257 43.33333333 75.33333333 14232.66667 18495.33333 7.133333365 16.00000032 0.74666667 1.296666702 7.166666518 8.166666567 29.06287094 723.3926676 20.29999924 -7.800000191 28.09999943 15.98333295 -0.383333405 15.98333295 -1.650000095 560 84 26 42.54829579 226 82 226 85 -1.402603189 8.381926854 20.15074571 28.89646975 8.1419638 17.30976359 8.96089077 47.3717041 76.62419383 75.30419159 8.123018265 20.27944946 47.1345787 723.1293945 29.62499237 -13.39957905 43.02457047 17.49206161 -1.332993984 17.88253021 -1.648629189 589.4997559 82.03604126 28.73001671 37.08399582 241.1857147 90.86225891 218.904892 103.4486923 66.93666667 62.46 10.13333333 11.23 17.93333333 0.533333333 50.55 79.82666667 86.43333333 17.87 35.96666667 122.8 13.73333333 23.51 7.883333333 13.83448276 1.256766667 1.390533333 24.54166667 37.95833333 35 1.362118579 0 962.3099734 941.3901913 930.9303003 569.2587747 569.2587747 7.805326088 569.2587747 24.7826087 31.62055336 31.62055336 32.80632411 1.321499944 20.5 8.899999619 37.25 42.25 0.446315795 5.650000095 1.394736886 22.52631569 15.94736862 34.78947449 42.68421173 0.446315795 5.884210587 9 1 3 5 8 200 1121 30 16 11 27 129 58 48 39 45 27 89 2 2 2 1 1 1 14.19999981 5.597000122 0.493000001 1599 410 24 16 11 26 54 7
